"HD in %","Network Resistance in Ohm","Network Reactance in Ohm","Network Impedance, Magnitude in Ohm","Network Impedance, Angle in deg","Current, Magnitude/Terminal i in A"
100.008195,16.607076,29.505615,33.858179,60.627250,289.831051
0.393185,14.316787,51.827538,53.768616,74.557772,2.470558
0.202735,29.538962,75.747978,81.303792,68.696021,0.864426
0.257364,100.095862,-58.425662,115.899696,-30.271985,0.940173
0.753716,78.083204,51.234641,93.391515,33.271061,2.000215
0.125349,201.384677,171.922429,264.788802,40.487440,0.268453
0.431873,177.773543,102.470367,205.191639,29.959559,1.355946
0.164210,133.526100,40.932998,139.659335,17.043145,0.721553
0.118635,85.295934,-0.964960,85.301392,-0.648165,0.283757
0.179140,246.023988,235.929614,340.867402,43.800132,0.367644
0.371897,383.914379,146.144020,410.789879,20.840241,0.680582
0.093924,343.943824,-41.399811,346.426469,-6.863555,0.176029
0.370632,353.157597,61.469242,358.467231,9.873764,0.737366
0.169356,259.464192,-31.579875,261.378950,-6.939445,0.494890
0.155811,64.088509,107.203287,124.899487,59.128079,0.538734
0.168971,159.514299,31.141402,162.525686,11.046705,0.644820
0.515537,57.894869,81.093576,99.639269,54.475945,1.396375
0.124290,133.611611,34.836333,138.078357,14.613298,0.284725
0.502832,160.418273,61.018557,171.631252,20.825394,0.909522
0.152262,187.234666,-66.715194,198.765533,-19.611929,0.290913
0.108267,58.710857,-75.405696,95.566646,-52.095684,0.154784
0.125091,216.539360,-2.005260,216.548644,-0.530572,0.161356
0.442679,113.776258,-14.306932,114.672251,-7.167109,0.435727
0.115686,122.763591,51.743913,133.222865,22.855051,0.103867
0.389502,149.943072,86.726416,173.217770,30.044900,0.349757
0.123413,270.039131,161.689144,314.745153,30.911568,0.155250
0.108849,500.231654,-68.552064,504.907015,-7.803244,0.090570
0.175133,437.083013,-967.816678,1061.937231,-65.695229,0.126461
0.439080,305.339206,-568.150539,645.001602,-61.745234,0.258423
0.121119,70.802136,-230.742818,241.361120,-72.941663,0.069577
0.347653,26.521657,-121.758135,124.613168,-77.711640,0.199044
0.114140,60.981707,-44.481385,75.480873,-36.107826,0.096403
0.099574,41.510324,16.558964,44.691233,21.747647,0.044492
0.113576,89.044046,282.700190,296.392037,72.516774,0.079910
0.286796,79.624869,87.891019,118.595746,47.824996,0.119455
0.116731,113.928815,-273.292493,296.088773,-67.369964,0.036881
0.286568,1071.435613,268.307030,1104.519323,14.058795,0.089301
0.142619,578.015038,-675.586394,889.110994,-49.450521,0.060994
0.110568,267.989235,-635.085919,689.312959,-67.121559,0.026754
0.118526,530.010396,605.973830,805.056087,48.825682,0.050515
0.256988,82.215201,-250.562423,263.706024,-71.834166,0.050335
0.100502,43.849107,-92.157789,102.057837,-64.554677,0.015246
0.240762,140.821045,-203.869437,247.776742,-55.365559,0.032786
0.105904,71.161162,-423.273662,429.213821,-80.456626,0.028783
0.100251,78.519575,60.579553,99.172607,37.650964,0.016821
0.105355,176.036892,231.802129,291.069089,52.785967,0.034113
0.225957,961.823757,103.983530,967.428300,6.170327,0.050259
0.102521,437.468830,226.490294,492.622402,27.371912,0.023709
0.214343,658.870674,5.291551,658.891922,0.460146,0.060958
0.111725,321.399325,204.404459,380.891992,32.455661,0.057637
