"HD in %","Network Resistance in Ohm","Network Reactance in Ohm","Network Impedance, Magnitude in Ohm","Network Impedance, Angle in deg","Current, Magnitude/Terminal i in A"
100.008840,16.425951,29.392538,33.670954,60.801460,335.714456
0.391204,14.006516,51.289092,53.167221,74.725562,2.590258
0.201420,28.989012,75.129763,80.528530,68.900764,0.893712
0.261912,100.910201,-57.912217,116.347297,-29.851451,1.007765
0.754471,77.836761,51.258504,93.198689,33.366442,2.049293
0.125837,202.751423,170.766262,265.083488,40.105573,0.270925
0.417700,176.921254,95.492743,201.047243,28.357829,1.332680
0.138981,130.771897,40.287326,136.836975,17.122667,0.560530
0.118060,84.653862,-0.541642,84.655595,-0.366591,0.299798
0.169879,240.998094,228.333554,331.988394,43.454294,0.352457
0.351648,374.041042,142.287842,400.190619,20.827167,0.649022
0.088861,99.070002,-157.865716,186.377171,-57.889316,0.203725
0.345326,347.124074,55.483013,351.530208,9.081129,0.686499
0.161749,252.767345,-35.503859,255.248613,-7.995493,0.474133
0.164116,114.541154,132.636213,175.248512,49.186971,0.548425
0.157062,67.905464,142.006106,157.406754,64.443483,0.622370
0.496690,56.788813,77.718904,96.255894,53.844588,1.540490
0.124370,128.937205,37.253894,134.211235,16.115620,0.346516
0.489070,154.769461,63.759730,167.388438,22.389988,1.008205
0.154648,189.840786,-60.283998,199.182541,-17.617261,0.336005
0.109488,60.052970,-75.438422,96.422584,-51.478358,0.179545
0.124481,215.405296,3.674696,215.436638,0.977340,0.179341
0.442336,113.841828,-12.897247,114.570069,-6.463534,0.495872
0.114959,121.339090,52.579275,132.241275,23.428296,0.117773
0.383434,147.379454,87.055255,171.170444,30.569831,0.377148
0.117423,259.642325,162.895236,306.511003,32.103470,0.155429
0.110535,501.719090,-43.690440,503.617811,-4.976846,0.108235
0.188263,526.708110,-1022.884170,1150.527469,-62.754952,0.153657
0.459500,336.120227,-582.743679,672.731004,-60.024118,0.318540
0.123489,73.594971,-233.992731,245.293330,-72.540690,0.084144
0.349532,27.064828,-122.663427,125.613778,-77.557445,0.220571
0.114422,61.310661,-44.331871,75.659183,-35.869545,0.105766
0.099657,87.886073,18.694064,89.852267,12.008297,0.055549
0.109757,62.205871,44.322702,76.381099,35.470495,0.070342
0.286757,78.894845,87.720479,117.979994,48.032131,0.152980
0.118453,117.561238,-275.994222,299.989092,-66.928157,0.045620
0.275954,70.709789,91.555732,115.682005,52.320583,0.103063
0.156260,615.648870,-674.651298,913.333402,-47.618179,0.084213
0.114026,285.832820,-647.271311,707.573707,-66.173909,0.034234
0.115042,428.723913,-293.678652,519.664646,-34.411395,0.053013
0.267804,979.154803,178.260800,995.249236,10.318024,0.079627
0.102033,569.920291,-28.242499,570.619642,-2.836982,0.024714
0.246523,1123.890381,-120.123220,1130.291633,-6.100705,0.049478
0.115506,231.711776,-418.090831,478.006580,-61.004168,0.052567
0.101987,102.680679,-210.429252,234.144810,-63.989558,0.024482
0.110114,173.639887,230.436295,288.533701,53.001002,0.057530
0.243124,947.733055,129.515761,956.541831,7.781750,0.070656
0.105173,487.998590,222.909946,536.499271,24.550162,0.030322
0.227849,654.704951,17.100557,654.928242,1.496196,0.083552
0.122719,317.410707,204.803214,377.748479,32.831360,0.094945
