"HD in %","Network Resistance in Ohm","Network Reactance in Ohm","Network Impedance, Magnitude in Ohm","Network Impedance, Angle in deg","Current, Magnitude/Terminal i in A"
100.008063,16.780279,29.612402,34.036335,60.461338,289.835949
0.396748,14.609559,52.329197,54.330323,74.401032,2.389456
0.203966,30.058221,76.323824,82.029402,68.504246,0.836972
0.255262,99.337211,-58.888354,115.480387,-30.659998,0.903612
0.752983,78.318086,51.209379,93.574158,33.179229,1.953333
0.124877,200.086189,173.109145,264.577511,40.865471,0.265925
0.430700,179.046855,109.081602,209.658227,31.351234,1.325435
0.163239,136.097760,41.315260,142.230626,16.886740,0.691131
0.119113,85.847179,-1.386153,85.858369,-0.925060,0.268962
0.177128,251.102362,242.886043,349.350864,44.047109,0.357175
0.369298,393.565255,149.230205,420.907667,20.765488,0.664385
0.094134,350.092249,-43.522660,352.787195,-7.086521,0.171529
0.369010,359.432681,66.778420,365.583382,10.524889,0.723473
0.168796,266.401719,-28.591015,267.931562,-6.125704,0.486650
0.154091,61.318450,109.166595,125.209017,60.677248,0.501020
0.170067,167.919950,32.708711,171.075917,11.022480,0.598206
0.526592,59.063204,83.648165,102.398621,54.774435,1.234693
0.125924,137.058829,32.512078,140.862194,13.344629,0.251252
0.509903,164.747734,58.426520,174.801242,19.526661,0.806895
0.150722,313.831726,-4.897026,313.869930,-0.893970,0.241772
0.107288,57.661511,-75.343386,94.876107,-52.572586,0.135355
0.124897,217.181651,-6.665027,217.283897,-1.757783,0.143188
0.442653,113.683817,-15.452637,114.729221,-7.740573,0.384370
0.116267,123.924863,51.009916,134.012623,22.373031,0.092275
0.392423,152.087978,86.351023,174.892116,29.586620,0.312421
0.124008,278.711664,160.082929,321.413652,29.871661,0.139854
0.108297,497.075887,-88.469442,504.887393,-10.091815,0.078783
0.163428,377.534990,-923.330365,997.532772,-67.761134,0.103268
0.424124,282.604022,-555.799910,623.521109,-63.048321,0.214666
0.119408,68.606365,-228.114064,238.207597,-73.261096,0.059017
0.345038,26.084098,-121.018632,123.797776,-77.836667,0.170049
0.113888,152.881725,30.143837,155.825135,11.153990,0.082450
0.099654,41.586169,16.495257,44.738160,21.635875,0.037624
0.114142,91.024544,286.386711,300.504269,72.367772,0.070929
0.287736,80.240699,88.029366,119.112296,47.650141,0.100850
0.115319,111.001678,-271.041202,292.890262,-67.729035,0.029806
0.288427,1099.329851,226.334887,1122.387456,11.633748,0.075076
0.137337,548.002934,-674.522395,869.072884,-50.908521,0.051217
0.107773,254.035021,-624.865601,674.530067,-67.876121,0.021008
0.119296,552.763473,612.510192,825.055266,47.935139,0.045160
0.254581,80.522299,-248.921464,261.621359,-72.074396,0.040977
0.100191,43.550756,-91.993531,101.781521,-64.666607,0.013057
0.239401,98.317315,-31.881613,103.357301,-17.966459,0.031051
0.104112,68.364280,-418.536973,424.083568,-80.723170,0.027699
0.100430,78.805466,60.568200,99.392194,37.545112,0.017861
0.105746,178.122809,232.948565,293.245237,52.596867,0.034606
0.226589,972.650664,81.116467,976.027252,4.767283,0.053497
0.103166,443.381386,224.305340,496.890268,26.834714,0.025512
0.214342,661.990743,-5.045586,662.009971,-0.436691,0.063846
0.111694,324.849866,203.967564,383.575550,32.123995,0.057501
