"HD in %","Network Resistance in Ohm","Network Reactance in Ohm","Network Impedance, Magnitude in Ohm","Network Impedance, Angle in deg","Current, Magnitude/Terminal i in A"
100.015164,17.027993,29.766060,34.292431,60.227824,290.181043
0.398341,14.713443,52.504774,54.527394,74.345504,2.367138
0.205175,30.425938,76.714047,82.527466,68.365983,0.822462
0.253585,98.062695,-59.472533,114.687725,-31.235747,0.868677
0.755547,78.588191,49.593777,92.928179,32.254339,1.833213
0.111114,145.497600,54.283968,155.294239,20.460135,0.292353
0.412827,178.134153,89.279284,199.255030,26.619629,1.329757
0.156647,113.478228,117.542036,163.381267,46.007769,0.593521
0.096487,148.115959,150.346262,211.050553,45.428143,0.209098
0.170475,247.884642,229.153297,337.576701,42.751382,0.349225
0.349170,378.113112,138.959892,402.839145,20.178824,0.638469
0.081285,305.486547,207.331686,369.199754,34.164477,0.135043
0.342287,333.929876,124.890516,356.520410,20.505908,0.659989
0.152438,235.285595,100.758452,255.952295,23.182494,0.427810
0.143915,170.254010,120.595007,208.637446,35.310859,0.398030
0.157324,66.341905,152.278972,166.102780,66.459154,0.564823
0.427881,66.944922,191.710923,203.063292,70.750940,1.065152
0.090757,101.961964,240.421518,261.148900,67.018361,0.189135
0.499957,159.877781,60.843044,171.063675,20.834809,0.905634
0.151475,187.121472,-66.195563,198.485006,-19.481598,0.288425
0.104839,267.796294,-6.308679,267.870592,-1.349510,0.145125
0.124759,216.344428,-1.789296,216.351827,-0.473859,0.160722
0.442430,113.732428,-14.264609,114.623490,-7.148852,0.436505
0.115574,122.661943,51.668857,133.100049,22.842272,0.104097
0.387762,149.389518,86.615013,172.682913,30.104862,0.353378
0.119750,270.589558,163.362920,316.079345,31.120622,0.141126
0.106452,566.550117,-23.568934,567.040149,-2.382176,0.085814
0.123135,1463.146135,386.561858,1513.349491,14.799340,0.081596
0.423527,580.254610,-455.807885,737.872780,-38.150727,0.248406
0.118515,387.087033,-167.652842,421.833908,-23.418115,0.067449
0.346323,116.442475,-115.997983,164.360524,-44.890434,0.195115
0.112588,158.692914,108.947611,192.491618,34.470807,0.089279
0.097759,198.092250,91.409383,218.165567,24.770894,0.042910
0.112669,89.198395,282.844912,296.576462,72.496732,0.075809
0.268583,87.731838,651.386784,657.268300,82.329295,0.103657
0.097585,1149.305145,718.909241,1355.630042,32.026656,0.028202
0.275236,1059.088139,512.098817,1176.398268,25.805069,0.082374
0.115504,165.567151,374.357967,409.336499,66.141650,0.053500
0.098287,137.825082,398.088408,421.272042,70.903263,0.023578
0.117177,532.354629,605.613742,806.330860,48.683454,0.048128
0.250968,992.496141,199.735319,1012.394581,11.378530,0.047004
0.098728,564.822360,265.394663,624.066203,25.167555,0.014861
0.234194,1115.855314,263.099587,1146.452997,13.267052,0.031559
0.106117,71.216467,-422.428307,428.389379,-80.430586,0.030290
0.099865,100.875866,-209.395069,232.426839,-64.277604,0.017544
0.105752,176.467256,231.713806,291.259301,52.708037,0.036176
0.226647,960.283540,99.077276,965.381160,5.890650,0.053018
0.102710,438.012346,225.176706,492.503162,27.207133,0.024987
0.214762,657.348804,3.054549,657.355901,0.266238,0.064094
0.106856,97.872789,-430.347118,441.336295,-77.187299,0.056471
