"HD in %","Network Resistance in Ohm","Network Reactance in Ohm","Network Impedance, Magnitude in Ohm","Network Impedance, Angle in deg","Current, Magnitude/Terminal i in A"
100.016372,16.587297,29.493213,33.837672,60.646136,336.038675
0.394394,14.282780,51.766169,53.700410,74.575311,2.509848
0.202007,29.384918,75.552544,81.065778,68.747273,0.869239
0.259504,100.631463,-57.958282,116.128609,-29.939616,0.976882
0.737681,66.350429,170.349417,182.814943,68.719282,1.744406
0.112109,124.778401,168.831146,209.937146,53.532925,0.279713
0.385920,177.534580,119.434884,213.970135,33.930359,1.159312
0.140666,139.465690,43.910495,146.214945,17.476505,0.498280
0.120484,86.832927,-1.309813,86.842805,-0.864201,0.265486
0.169289,247.214111,258.175363,357.448367,46.242477,0.335845
0.355989,407.337829,173.759034,442.850211,23.101753,0.623750
0.091234,377.595980,-43.539770,380.097929,-6.577602,0.146557
0.352644,400.557021,87.472679,409.996825,12.318723,0.620715
0.162084,301.357245,-49.292647,305.362005,-9.289539,0.412550
0.178183,119.010612,167.936955,205.830869,54.676232,0.402842
0.189339,90.033054,179.351655,200.681257,63.343726,0.574862
0.529569,66.443195,76.614173,101.412177,49.066726,1.416892
0.123854,125.493353,29.298673,128.868126,13.141336,0.358709
0.485935,153.495053,57.944935,164.068116,20.681702,0.996106
0.156510,185.204286,-62.158572,195.356893,-18.552869,0.346611
0.108812,59.070225,-74.994970,95.464847,-51.774058,0.168919
0.125022,215.370117,-1.743991,215.377178,-0.463951,0.165420
0.442199,113.640022,-14.372590,114.545300,-7.208197,0.432120
0.115829,123.037076,51.696987,133.456736,22.790883,0.101418
0.389774,151.564191,87.607211,175.062067,30.028793,0.305356
0.122098,282.577697,154.620628,322.114411,28.686560,0.126088
0.109708,485.073468,-76.699205,491.099824,-8.985148,0.093333
0.175251,415.520743,-924.121149,1013.241031,-65.789466,0.127546
0.451869,291.136421,-553.918258,625.768210,-62.273829,0.289206
0.124995,379.562543,-172.429650,416.892922,-24.431596,0.084714
0.348966,26.306654,-120.943955,123.771889,-77.728672,0.214579
0.122710,160.410305,107.891705,193.318613,33.924711,0.143834
0.101346,191.981825,56.544187,200.135620,16.411223,0.053523
0.116355,92.908033,286.291428,300.989509,72.020583,0.078418
0.314185,347.220512,665.454942,750.594673,62.445386,0.146854
0.116526,111.145178,-268.713046,290.791938,-67.529018,0.037669
0.297102,1131.154934,237.898754,1155.901078,11.877059,0.085757
0.175542,790.956197,-507.171933,939.593037,-32.668548,0.104422
0.110666,253.776538,-607.626250,658.492362,-67.332030,0.031647
0.135125,575.305212,593.626415,826.661000,45.897950,0.069741
0.297608,988.419838,129.813892,996.907931,7.482105,0.107617
0.107058,575.947119,239.577250,623.788700,22.585890,0.034977
0.260624,1107.233489,166.706611,1119.712951,8.562220,0.077754
0.122606,215.928757,-399.377563,454.012847,-61.601541,0.091253
0.102107,113.642771,55.037932,126.268973,25.841208,0.047827
0.121474,183.374169,228.878873,293.277385,51.298839,0.112993
0.265018,916.420644,30.108792,916.915119,1.881763,0.135121
0.110742,496.359221,189.323100,531.239788,20.878029,0.059904
0.242086,624.096525,-23.477444,624.537960,-2.154353,0.155292
0.142685,323.855570,188.004852,374.470632,30.136051,0.180595
