"HD in %","Network Resistance in Ohm","Network Reactance in Ohm","Network Impedance, Magnitude in Ohm","Network Impedance, Angle in deg","Current, Magnitude/Terminal i in A"
100.008888,16.897812,29.688420,34.160479,60.352688,335.713690
0.395986,14.454604,52.078900,54.047640,74.487898,2.449129
0.199781,29.083505,75.312567,80.733098,68.884901,0.862318
0.258785,103.960305,-56.558765,118.349646,-28.548045,1.000983
0.712412,73.283466,54.392514,91.263421,36.583574,2.176620
0.097550,118.415061,213.481785,244.124147,60.983542,0.216121
0.500728,214.032204,208.059706,298.493929,44.189333,1.147573
0.170759,162.521570,40.497938,167.491325,13.992286,0.524563
0.127318,90.478420,-5.946776,90.673638,-3.760409,0.197719
0.262402,328.774639,330.901623,466.463982,45.184737,0.476285
0.546129,561.801070,136.489473,578.143424,13.655434,0.858495
0.089067,72.630151,-169.378192,184.293545,-66.790123,0.137041
0.517148,515.114039,-3.670490,515.127116,-0.408259,0.816345
0.215768,308.650948,-135.463607,337.069424,-23.696158,0.556026
0.261381,161.358589,217.507502,270.824865,53.430018,0.662292
0.387235,168.883197,261.099939,310.957734,57.104630,1.546438
0.549486,82.264844,45.891251,94.199317,29.154861,3.557931
0.120714,104.178141,34.912727,109.872578,18.527302,0.615414
0.473649,142.243713,63.156163,155.634105,23.941206,1.299667
0.164043,187.108966,-55.318472,195.115090,-16.470231,0.430140
0.109784,59.761295,-74.797925,95.739971,-51.376196,0.188918
0.125560,214.201726,-0.777026,214.203135,-0.207842,0.175370
0.441750,113.452110,-14.361495,114.357483,-7.214495,0.434435
0.115923,123.199596,51.541442,133.546473,22.702349,0.099817
0.391142,152.330077,88.099321,175.971426,30.042722,0.293226
0.122343,291.301333,160.706986,332.690850,28.884924,0.108522
0.117234,487.404123,-115.102936,500.810807,-13.287250,0.089171
0.203029,314.597559,-849.513489,905.894471,-69.679062,0.171943
0.475720,251.253851,-529.998498,586.538069,-64.635997,0.335594
0.129281,65.197435,-222.655753,232.004935,-73.679061,0.115274
0.353141,25.316345,-119.313571,121.969855,-78.020465,0.256364
0.141249,167.298244,47.995999,174.046885,16.007594,0.256221
0.103151,88.808326,16.866360,90.395756,10.753470,0.065437
0.136681,99.068562,298.619190,314.623586,71.646452,0.123026
0.327827,193.931969,127.207706,231.929751,33.262465,0.237737
0.116015,100.059752,-260.687169,279.230647,-69.001662,0.042799
0.371544,1160.765793,-30.698405,1161.171658,-1.514930,0.142207
0.243687,642.185275,-578.741148,864.490164,-42.025362,0.208620
0.110830,185.949108,-552.754083,583.193062,-71.406815,0.063791
0.238279,785.849059,601.144743,989.410807,37.414619,0.217029
0.424790,977.764805,-224.084755,1003.114147,-12.908169,0.318408
0.141911,667.039143,122.840730,678.255898,10.434576,0.125777
0.356571,1034.013296,-344.986942,1090.045635,-18.450698,0.281478
0.168687,148.354621,-340.619762,371.525122,-66.464794,0.303275
0.104593,79.501305,-180.929075,197.625372,-66.279029,0.200694
0.253397,267.253169,187.956145,326.728892,35.118289,0.779549
0.357632,395.339530,-179.822086,434.314778,-24.458643,0.518778
0.120355,283.940678,42.344218,287.080723,8.482038,0.281061
0.302628,343.387571,79.052841,352.369658,12.964443,0.552557
0.217680,224.979629,162.882744,277.752807,35.904119,0.573503
