"HD in %","Network Resistance in Ohm","Network Reactance in Ohm","Network Impedance, Magnitude in Ohm","Network Impedance, Angle in deg","Current, Magnitude/Terminal i in A"
100.017073,16.782614,29.613818,34.038718,60.459094,336.083852
0.398533,14.614387,52.336892,54.339034,74.398309,2.419289
0.204078,30.087883,76.350643,82.065226,68.491838,0.836194
0.257255,99.184654,-58.925012,115.367901,-30.714294,0.927034
0.755920,68.067892,174.269281,187.090941,68.664865,1.699086
0.122589,197.739723,168.523056,259.809581,40.439191,0.268368
0.397271,88.389983,122.141720,150.769324,54.107966,1.558422
0.139932,136.546458,40.966471,142.559416,16.700219,0.514645
0.118753,102.032861,0.410118,102.033685,0.230298,0.265629
0.168038,252.226476,240.690200,348.640169,43.659288,0.336421
0.348157,391.081988,145.989166,417.442161,20.470380,0.622415
0.086642,346.674071,-42.360027,349.252463,-6.966425,0.151831
0.340372,354.131589,67.057537,360.424605,10.722443,0.663733
0.159946,264.682852,-24.809297,265.843024,-5.354812,0.459837
0.155920,57.073096,103.203079,117.933091,61.056644,0.534741
0.159543,169.199287,33.984276,172.578474,11.356948,0.530953
0.523135,59.056604,84.004050,102.685748,54.891980,1.171667
0.127866,137.391795,32.427174,141.166664,13.279907,0.263447
0.506914,165.021836,58.366864,175.039701,19.478268,0.778414
0.149884,184.761025,-71.738362,198.199468,-21.220021,0.252327
0.105647,230.491675,-32.165208,232.725187,-7.944345,0.129346
0.124248,217.238094,-6.704504,217.341528,-1.767728,0.139123
0.442464,113.694951,-15.451835,114.740146,-7.739427,0.381931
0.116251,123.901528,51.027916,133.997899,22.383947,0.092469
0.389850,151.807984,86.466613,174.705865,29.664923,0.302210
0.117866,239.057366,145.612879,279.913442,31.346125,0.118429
0.108257,497.772666,-91.047633,506.030926,-10.365393,0.076987
0.157976,372.456626,-920.189797,992.710028,-67.963835,0.093363
0.425423,281.083912,-555.242925,622.336622,-63.149829,0.217201
0.119787,68.494870,-227.978128,238.045319,-73.277372,0.061148
0.344091,26.068002,-120.984829,123.761341,-77.840654,0.159985
0.113557,60.698136,-44.605131,75.325172,-36.310984,0.082672
0.099853,88.333557,17.915466,90.132021,11.464992,0.040253
0.110112,62.805938,44.186910,76.792375,35.128176,0.052523
0.288752,75.013825,87.938208,115.586342,49.534866,0.111309
0.112603,973.446504,-113.702590,980.064475,-6.662196,0.028070
0.278081,71.839828,92.009977,116.733872,52.017886,0.069299
0.141986,153.718326,-728.904981,744.937444,-78.091424,0.061978
0.107771,253.986287,-624.374441,674.056731,-67.864235,0.021108
0.113384,553.330970,612.056632,825.099075,47.884782,0.036604
0.258763,80.540487,-248.850906,261.559827,-72.065849,0.061750
0.100617,43.551814,-91.982426,101.771937,-64.663394,0.018580
0.241412,138.920742,-203.468644,246.370578,-55.676208,0.042433
0.110077,68.518607,-418.401915,423.975191,-80.699645,0.045381
0.100914,78.805928,60.556444,99.385398,37.539575,0.024259
0.110280,178.171772,232.852536,293.198710,52.577868,0.054608
0.239297,791.122802,118.317584,799.921458,8.505914,0.074354
0.105918,443.181156,224.018758,496.582260,26.815638,0.032792
0.225904,661.328030,-4.991694,661.346868,-0.432459,0.085610
0.121157,324.712691,203.770066,383.354368,32.109898,0.089471
