OPDMS_EID,PSSE_BUS_NUMBER,PSSE_BUS_NAME,EMS_REGION_ID,EMS_STN_ID,EMS_ID,EMS_STN_DESC,BASKV,BUS_TYPE_IDE,AREA,ZONE
3923691,440330,4BELMNT__33A,QLD,H3_BELMT,84,BELMONT 275KV,33,1,4,98
205500,440331,4BELMNT__33B,QLD,H3_BELMT,4X27,BELMONT 275KV,33,1,4,98
205501,440332,4BELMNT__33C,QLD,H3_BELMT,3X26,BELMONT 275KV,33,1,4,98
3929599,440347,4BELMNT_110H,QLD,H3_BELMT,4MN9,BELMONT 275KV,110,1,4,98
205433,440380,4BELMNT_275A,QLD,H3_BELMT,59,BELMONT 275KV,275,1,4,98
3925070,440430,4MUDGRB__33A,QLD,H4_MUGBA,60,MUDGEERABA 275KV,33,1,4,98
205512,440440,4MUDGRB_110A,QLD,H4_MUGBA,2,MUDGEERABA 275KV,110,1,4,98
205502,440480,4MUDGRB_275A,QLD,H4_MUGBA,45,MUDGEERABA 275KV,275,1,4,98
3968573,440502,4WOOLGA___S1,QLD,H5_WLGA,SVC,WOOLOOGA 275KV,275,2,4,98
3965731,440550,4WOOLGA_132K,QLD,H5_WLGA,4MN2,WOOLOOGA 275KV,132,1,4,98
205548,440580,4WOOLGA_275A,QLD,H5_WLGA,20,WOOLOOGA 275KV,275,1,4,98
205604,440640,4GINGIN_132A,QLD,H6_GNGN,20,GIN GIN 275KV,132,1,4,98
205584,440680,4GINGIN_275A,QLD,H6_GNGN,2,GIN GIN 275KV,275,1,4,98
3965180,440688,4GINGIN_275I,QLD,H6_GNGN,8141,GIN GIN 275KV,275,1,4,98
205591,440689,4GINGIN_275J,QLD,H6_GNGN,813T,GIN GIN 275KV,275,1,4,98
206534,440720,4GLADSN__15A,QLD,H7_GLAD,6X5,GLADSTONE 275KV,15.75,4,4,98
206537,440721,4GLADSN__15B,QLD,H7_GLAD,7X4,GLADSTONE 275KV,15.75,4,4,98
206535,440722,4GLADSN__15C,QLD,H7_GLAD,1X6,GLADSTONE 275KV,15.75,4,4,98
206536,440723,4GLADSN__15D,QLD,H7_GLAD,2X1,GLADSTONE 275KV,15.75,1,4,98
3964723,440781,4GLADSN_275B,QLD,H7_GLAD,8876,GLADSTONE 275KV,275,1,4,98
3965112,440782,4GLADSN_275C,QLD,H7_GLAD,8877,GLADSTONE 275KV,275,1,4,98
3965189,440783,4GLADSN_275D,QLD,H7_GLAD,8878,GLADSTONE 275KV,275,1,4,98
3965309,440784,4GLADSN_275E,QLD,H7_GLAD,8879,GLADSTONE 275KV,275,1,4,98
3970584,440785,4GLADSN_275F,QLD,H7_GLAD,261,GLADSTONE 275KV,275,4,4,98
206523,440789,4GLADSN_275J,QLD,H7_GLAD,9,GLADSTONE 275KV,275,4,4,98
206542,440840,4_BOYNE_132A,QLD,H8_BOYNE,2,BOYNE ISLAND 275KV,132,1,4,98
206546,440841,4_BOYNE_132B,QLD,H8_BOYNE,20,BOYNE ISLAND 275KV,132,1,4,98
206541,440880,4_BOYNE_275A,QLD,H8_BOYNE,25,BOYNE ISLAND 275KV,275,1,4,98
206540,440881,4_BOYNE_275B,QLD,H8_BOYNE,17,BOYNE ISLAND 275KV,275,1,4,98
205628,440940,4PALMWD_132A,QLD,H9_PLMWD,23,PALMWOODS 275KV,132,1,4,98
205624,440941,4PALMWD_132B,QLD,H9_PLMWD,4,PALMWOODS 275KV,132,1,4,98
205650,440942,4PALMWD_110A,QLD,H9_PLMWD,19,PALMWOODS 275KV,110,1,4,98
205649,440943,4PALMWD_110B,QLD,H9_PLMWD,20,PALMWOODS 275KV,110,1,4,98
205616,440980,4PALMWD_275A,QLD,H9_PLMWD,32,PALMWOODS 275KV,275,1,4,98
206588,441040,4BOULDR_132A,QLD,H10_BCMB,1,BOULDERCOMBE 275KV,132,1,4,98
206570,441080,4BOULDR_275A,QLD,H10_BCMB,18,BOULDERCOMBE 275KV,275,1,4,98
3968581,441101,4__NEBO___S1,QLD,H11_NEBO,SVC,NEBO 275KV,275,2,4,98
207012,441120,4__NEBO__19A,QLD,H11_NEBO,18,NEBO 275KV,19.1,1,4,98
207011,441121,4__NEBO__19B,QLD,H11_NEBO,17,NEBO 275KV,19.1,1,4,98
207002,441140,4__NEBO_132A,QLD,H11_NEBO,1,NEBO 275KV,132,1,4,98
206980,441180,4__NEBO__SV1,QLD,H11_NEBO,9,NEBO 275KV,275,1,4,98
205651,441280,4MTENGL_275A,QLD,H12_MT_E,2,MT. ENGLAND 275KV,275,1,4,98
3968589,441301,4__ROSS___S1,QLD,H13_ROSS,SVC,ROSS 275KV,275,2,4,98
207059,441320,4__ROSS__19A,QLD,H13_ROSS,43,ROSS 275KV,19.1,1,4,98
207054,441321,4__ROSS__19B,QLD,H13_ROSS,26,ROSS 275KV,19.1,1,4,98
207053,441322,4__ROSS__19C,QLD,H13_ROSS,25,ROSS 275KV,19.1,1,4,98
3929040,441340,4__ROSS_132A,QLD,H13_ROSS,55,ROSS 275KV,132,1,4,98
207017,441380,4__ROSS_275A,QLD,H13_ROSS,2,ROSS 275KV,275,1,4,98
205685,441440,4MIDLRG_110A,QLD,H14_MRDG,1,MIDDLE RIDGE 275KV,110,1,4,98
3126846,441480,4MIDLRG_275A,QLD,H14_MRDG,51,MIDDLE RIDGE 275KV,275,1,4,98
3924961,441490,4MIDLRG_330A,QLD,H14_MRDG,9907,MIDDLE RIDGE 275KV,330,1,4,98
3126842,441491,4MIDLRG_330B,QLD,H14_MRDG,70,MIDDLE RIDGE 275KV,330,1,4,98
206637,441520,4LILYVL__19A,QLD,H15_LILY,23,LILYVALE 275KV,19,1,4,98
206638,441521,4LILYVL__19B,QLD,H15_LILY,22,LILYVALE 275KV,19,1,4,98
206636,441530,4LILYVL__66A,QLD,H15_LILY,9,LILYVALE 275KV,66,1,4,98
206617,441540,4LILYVL_132A,QLD,H15_LILY,1,LILYVALE 275KV,132,1,4,98
3040005,441581,4LILYVL_275B,QLD,H15_LILY,47,LILYVALE 275KV,275,1,4,98
205721,441640,4ROKLEA_110A,QLD,H16_RLEA,2,ROCKLEA 275KV,110,1,4,98
1055200,441680,4ROKLEA_275A,QLD,H16_RLEA,29,ROCKLEA 275KV,275,1,4,98
205720,441681,4ROKLEA_275B,QLD,H16_RLEA,13,ROCKLEA 275KV,275,1,4,98
205786,441830,4TARONG__66A,QLD,H18_TRNG,30,TARONG 275KV,66,1,4,98
205787,441831,4TARONG__66B,QLD,H18_TRNG,38,TARONG 275KV,66,1,4,98
205784,441832,4TARONG__66C,QLD,H18_TRNG,25,TARONG 275KV,66,1,4,98
3931570,441833,4TARONG__66D,QLD,H18_TRNG,603,TARONG 275KV,66,1,4,98
205781,441840,4TARONG_132A,QLD,H18_TRNG,43,TARONG 275KV,132,1,4,98
205780,441841,4TARONG_132B,QLD,H18_TRNG,35,TARONG 275KV,132,1,4,98
205741,441880,4TARONG_275A,QLD,H18_TRNG,2,TARONG 275KV,275,1,4,98
206642,442080,4BRDSND_275A,QLD,H20_BSND,1,BROADSOUND 275KV,275,1,4,98
2165456,442140,4MURARR_110A,QLD,H21_MRRE,2,MURARRIE  110KV,110,1,4,98
3926111,442180,4MURARR_275A,QLD,H21_MRRE,8837,MURARRIE  110KV,275,1,4,98
3922287,442181,4MURARR_275B,QLD,H21_MRRE,31,MURARRIE  110KV,275,1,4,98
1192926,442230,4LGNLEA__33A,QLD,H22_LOGN,7,LOGANLEA 275KV,33,1,4,98
1192915,442240,4LGNLEA_110A,QLD,H22_LOGN,1,LOGANLEA 275KV,110,1,4,98
1192901,442280,4LGNLEA_275A,QLD,H22_LOGN,23,LOGANLEA 275KV,275,1,4,98
3966128,442380,4_HALYS_275A,QLD,S2_HALYS,8MN2,HALYS,275,1,4,98
4980540,442442,4CALVLE_132D,QLD,H24_CALV,7109,CALVALE 275KV,132,1,4,98
4983548,442444,4CALVLE_132E,QLD,H24_CALV,7110,CALVALE 275KV,132,1,4,98
4984225,442446,4CALVLE_132G,QLD,H24_CALV,109T,CALVALE 275KV,132,1,4,98
206658,442480,4CALVLE_275A,QLD,H24_CALV,2,CALVALE 275KV,275,1,4,98
3968019,442481,4CALVLE_275L,QLD,H24_CALV,8810,CALVALE 275KV,275,1,4,98
3967930,442482,4CALVLE_275I,QLD,H24_CALV,8811,CALVALE 275KV,275,1,4,98
206457,442701,4TRNGPS___G1,QLD,TRNG_PS,21,TARONG PS,20,4,4,98
206458,442702,4TRNGPS___G2,QLD,TRNG_PS,22,TARONG PS,20,2,4,98
206456,442703,4TRNGPS___G3,QLD,TRNG_PS,23,TARONG PS,20,2,4,98
206459,442704,4TRNGPS___G4,QLD,TRNG_PS,24,TARONG PS,20,2,4,98
206468,442711,4TRNGPS__G11,QLD,TRNG_PS,10,TARONG PS,6.6,4,4,98
206469,442720,4TRNGPS___6A,QLD,TRNG_PS,7,TARONG PS,6.6,1,4,98
3930110,442730,4TRNGPS__66A,QLD,TRNG_PS,602,TARONG PS,66,1,4,98
3930109,442731,4TRNGPS__66B,QLD,TRNG_PS,601,TARONG PS,66,1,4,98
206453,442780,4TRNGPS_275A,QLD,TRNG_PS,3,TARONG PS,275,1,4,98
206450,442781,4TRNGPS_275B,QLD,TRNG_PS,6,TARONG PS,275,1,4,98
206451,442782,4TRNGPS_275C,QLD,TRNG_PS,13,TARONG PS,275,1,4,98
206452,442783,4TRNGPS_275D,QLD,TRNG_PS,16,TARONG PS,275,1,4,98
206474,442801,4WIVNHO___G1,QLD,WIV_PS,4,WIVENHOE PS,13.8,1,4,98
206475,442802,4WIVNHO___G2,QLD,WIV_PS,8,WIVENHOE PS,13.8,2,4,98
206470,442880,4WIVNHO_275A,QLD,WIV_PS,5,WIVENHOE PS,275,1,4,98
206471,442881,4WIVNHO_275B,QLD,WIV_PS,1,WIVENHOE PS,275,1,4,98
